,City,Latitude,Longitude,Cloudiness,Wind Speed,Temperature,Humidity
0,Punta Arenas,-53.16,-70.91,97,4.6,283.15,61
1,Mataura,-46.19,168.86,35,7.6,285.37,66
2,Alghero,40.56,8.32,100,2.6,285.15,81
3,Hongjiang,27.21,109.83,98,1.3,280.01,83
4,Cabo San Lucas,22.89,-109.91,5,4.1,292.04,82
5,Faanui,-16.48,-151.75,70,4.79,300.64,78
6,Bambous Virieux,-20.34,57.76,75,1.0,298.15,94
7,Bethel,60.79,-161.76,1,4.1,250.15,76
8,Atuona,-9.8,-139.03,0,7.03,300.06,73
9,Gat,14.69,-16.54,100,6.7,295.15,14
10,Duluth,46.77,-92.13,90,2.8,269.15,73
11,Mangai,-4.07,19.59,97,0.38,295.48,78
12,Provideniya,64.42,-173.23,0,4.08,247.45,72
13,Ravar,31.27,56.81,64,0.24,280.77,49
14,Port-Gentil,-0.72,8.78,100,5.86,300.78,80
15,Sao Filipe,14.9,-24.5,88,4.57,294.79,73
16,Port Alfred,-33.59,26.89,100,4.25,294.26,98
17,Barrow,-38.31,-60.23,0,5.67,294.12,65
18,Kodiak,39.95,-94.76,1,6.7,274.15,64
19,Taltal,-25.41,-70.49,1,0.65,287.03,90
20,Phalombe,-15.81,35.65,98,1.44,292.85,92
21,Jamestown,-33.21,138.6,0,8.82,298.57,42
22,Thompson,55.74,-97.86,20,2.6,257.15,84
23,Rikitea,-23.12,-134.97,94,5.45,299.34,78
24,Georgetown,6.8,-58.16,100,2.1,296.15,94
25,Sept-Iles,50.2,-66.38,90,2.1,267.59,85
26,Hithadhoo,-0.6,73.08,0,0.67,301.37,68
27,Marquette,46.54,-87.4,90,3.1,269.82,85
28,Ushuaia,-54.81,-68.31,40,6.7,282.15,61
29,Cape Town,-33.93,18.42,19,4.1,292.04,93
30,Araxa,-19.59,-46.94,69,1.0,292.15,100
31,Miami,25.77,-80.19,75,2.1,298.15,83
32,Geraldton,49.72,-86.95,90,2.1,263.15,85
33,Arraial do Cabo,-22.97,-42.02,60,7.57,297.36,90
34,Saskylakh,71.97,114.09,98,2.71,245.82,97
35,Codrington,-28.95,153.24,0,5.1,309.15,34
36,Saint-Philippe,45.36,-73.48,90,2.35,277.15,93
37,Porto Velho,-8.75,-63.87,20,1.0,298.15,88
38,Albany,42.65,-73.75,90,0.73,279.15,86
39,Hay River,60.82,-115.79,75,0.37,245.15,75
40,San Cristobal,14.68,-86.92,10,2.2,290.85,85
41,Khatanga,71.98,102.47,100,2.26,253.71,98
42,Hasaki,35.73,140.83,40,4.6,284.26,39
43,Port Elizabeth,39.31,-74.98,90,2.1,283.15,93
44,Riyadh,24.63,46.72,0,1.5,291.15,45
45,Kahului,20.89,-156.47,40,8.7,297.15,83
46,Faya,18.39,42.45,0,3.6,287.15,82
47,Nhulunbuy,-12.18,136.78,98,5.1,307.15,44
48,Longyearbyen,78.22,15.63,75,7.2,259.15,60
49,Chokurdakh,70.62,147.9,46,2.15,244.94,97
50,Puerto Ayora,-0.74,-90.35,12,0.89,297.04,83
51,Kiama,-34.67,150.86,3,3.6,309.15,26
52,Castro,-42.48,-73.76,4,4.1,283.15,71
53,Zatoka,50.04,20.52,75,7.2,279.82,75
54,Isangel,-19.55,169.27,0,5.7,299.15,69
55,Henties Bay,-22.12,14.28,40,1.34,289.26,93
56,Buraydah,26.33,43.97,75,2.6,286.15,71
57,Dikson,73.51,80.55,6,5.9,250.12,94
58,Busselton,-33.64,115.35,26,1.07,297.59,15
59,Caravelas,-17.73,-39.27,100,5.0,296.2,95
60,Togur,58.36,82.83,87,3.5,261.28,95
61,Kruisfontein,-34.0,24.73,98,1.58,293.01,93
62,Chara,39.42,22.43,0,0.84,275.37,86
63,Tongzi,28.78,105.09,98,1.05,283.68,58
64,Natal,-5.81,-35.21,40,3.1,299.15,83
65,Ancud,-41.87,-73.83,0,4.1,283.15,71
66,Namibe,-15.19,12.15,100,2.92,295.33,96
67,Hobart,-42.88,147.33,40,9.8,296.15,18
68,Tuktoyaktuk,69.44,-133.03,40,7.2,243.15,74
69,Hilo,19.71,-155.08,1,2.6,300.15,57
70,Avarua,-21.21,-159.78,8,6.2,300.15,69
71,Bluff,-23.58,149.07,21,5.75,304.69,35
72,Sinnamary,5.38,-52.96,100,6.21,299.8,80
73,Mount Gambier,-37.83,140.78,75,8.2,289.15,67
74,Marsa Matruh,31.35,27.25,40,6.2,283.15,81
75,Naryan-Mar,67.67,53.09,100,8.95,274.29,98
76,Hohhot,40.81,111.65,0,1.0,267.15,57
77,Aykhal,65.95,111.51,100,2.0,245.15,75
78,Mahebourg,-20.41,57.7,75,1.0,298.15,94
79,La Ronge,55.1,-105.3,90,1.55,263.15,85
80,Ribeira Grande,38.52,-28.7,87,6.64,289.27,92
81,Rocha,-34.48,-54.34,0,2.36,288.08,95
82,Tuatapere,-46.13,167.69,53,7.15,284.82,68
83,Byron Bay,-28.65,153.62,0,9.8,309.15,58
84,Nikolskoye,59.7,30.79,100,4.0,274.26,80
85,Husavik,50.56,-96.99,100,1.34,270.93,91
86,Hofn,64.25,-15.21,100,4.86,272.92,65
87,Coquimbo,-29.95,-71.34,90,3.1,288.15,87
88,Pitimbu,-7.47,-34.81,20,1.5,299.15,83
